productId,productName,quantity,price,productType,expirationDate
APPLE,Apple,100,1.99,PerishableProduct,2025-07-11
BANANA,Banana,36,0.56,PerishableProduct,2025-07-26
CARROT,Carrot,250,4.99,PerishableProduct,2025-07-13
DONUT,Donut,500,4.56,PerishableProduct,2025-07-12
EGGS,Eggs,600,7.99,PerishableProduct,2025-08-26
FUDGE,Fudge,1,5.55,PerishableProduct,2026-01-01
GRAPES,Grapes,645,2.46,PerishableProduct,2025-09-29
HAM,Ham,62,8.99,PerishableProduct,2025-12-31
ICE,Ice,10000,0.25,PerishableProduct,2100-01-01
JAM,Jam,25,4.50,PerishableProduct,2027-01-13
KIWI,Kiwi,45,1.25,PerishableProduct,2025-07-30
LIME,Lime,2,0.42,PerishableProduct,2025-08-13
MELON,Melon,38,1.30,PerishableProduct,2025-08-02
NOODLE,Noodle,5000,1.25,PerishableProduct,2030-12-25
ORANGE,Orange,50,0.99,PerishableProduct,2025-11-02
PIZZA,Pizza,75,12.99,PerishableProduct,2025-12-01
QUINOA,Quinoa,256,5.95,PerishableProduct,2030-12-13
RICE,Rice,1000000,1.89,PerishableProduct,2040-01-13
SALAMI,Salami,70,5.99,PerishableProduct,2026-12-15
TEA,Tea,44,4.24,PerishableProduct,2025-04-24
UDON,Udon,12,12.12,PerishableProduct,2025-12-12
VANILLA,Vanilla,1,50.00,PerishableProduct,2060-01-01
WAFFLE,Waffle,7,5.00,PerishableProduct,2025-11-15
XOUBA,Xouba,7,7.00,PerishableProduct,2027-07-07
YUZU,Yuzu,25,0.49,PerishableProduct,2025-12-18
ZUCCHINI,Zucchini,40,1.25,PerishableProduct,2025-09-08
